; ermaccer mugenhook - animated portraits
; Format:
; a - Row
; b - Column
; c - Animation
; d - Alternate Animation for P2
; e - Select Animation
; f - Alternate Select Animation for P2
; g - File name (512 max, no spaces)
; ---- These settings require ini bEnableAnimationScale set to true!
; h - Scale X
; i - Scale Y
;
;
0 1 0 0 75 0 chars\scorpion\1.air 0.89 0.76
0 2 0 0 75 0 chars\liu_kang\Liu_kang.air 0.89 0.76
0 3 0 0 75 0 chars\Sindel\sindel.air 0.89 0.76
0 4 0 0 75 0 chars\klassic_sub-zero\1.air 0.89 0.76
0 5 0 0 180 0 chars\jax\jax.air 0.89 0.76
0 6 0 0 75 0 chars\sonya\Sonya.air 0.89 0.76
0 7 0 0 180 0 chars\cyrax\1.air 0.89 0.76
0 8 0 0 180 0 chars\Kano\Kano.air 0.89 0.76
0 9 0 0 75 0 chars\sektor\1.air 0.89 0.76
0 10 0 0 180 0 chars\Subzero\Subzero.air 0.89 0.76
0 11 0 0 180 0 chars\Cage\Cage.air 0.89 0.76
0 12 0 0 180 0 chars\kabal\Kabal.air 0.89 0.76
0 13 0 0 180 0 chars\jade\1.air 0.89 0.76
0 14 70 0 180 0 chars\chameleon\1.air 0.89 0.76
1 0 0 0 182 0 chars\reptile_MKX\1.air 0.89 0.76
1 1 0 0 180 0 chars\shang_tsung\shang_tsung.air 0.89 0.76
1 2 0 0 180 0 chars\kung_lao_mkx\KUNG_LAO.air 0.89 0.76
1 3 0 0 75 0 chars\stryker\Stryker.air 0.89 0.76
1 4 0 0 75 0 chars\sheeva\Sheeva.air 0.89 0.76
1 5 0 0 180 0 chars\noob_saibot\1.air 0.89 0.76
1 6 0 0 180 0 chars\kitana\1.air 0.89 0.76
1 7 0 0 180 0 chars\lk520\1.air 0.89 0.76
1 8 0 0 180 0 chars\smoke\1.air 0.89 0.76
1 9 0 0 180 0 chars\mileena\1.air 0.89 0.76
1 10 0 0 180 0 chars\ermac\1.air 0.89 0.76
1 11 0 0 182 0 chars\nightwolf\nightwolf.air 0.89 0.76
1 12 0 0 180 0 chars\human_smoke\1.air 0.89 0.76
1 13 0 0 180 0 chars\raiden\raiden.air 0.87 0.74
1 14 70 0 75 0 chars\rain\1.air 0.89 0.76
1 15 70 0 75 0 chars\khameleon\1.air 0.89 0.76
2 2 0 0 180 0 chars\liu_kang_mk2\Liu_kang.air 0.87 0.74
2 3 0 0 75 0 chars\kung_lao_mk2\KUNG_LAO.air 0.85 0.72
2 4 0 0 180 0 chars\johnny_cage_mk2\Cage.air 0.89 0.76
2 5 0 0 180 0 chars\reptile_mk2\1.air 0.89 0.75
2 6 0 0 180 0 chars\mileena_mk2\1.air 0.89 0.74
