; ermaccer mugenhook - frame loader
; 
; format:	
; a - group
; b - index
;
; a b
9000 0
9000 1
9000 2
; these are required ^

;Scorpion UMK3
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

183 0
183 1
183 2

;Liu Kang MK3
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 7
0 6
0 5
0 4
0 3
0 2
0 1

75 0
75 1
75 2
75 3
75 4
75 5
75 6
75 12
75 7
75 8
75 13
75 14
75 13
75 8

;Sindel
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

75 0
75 1
75 2
75 3
75 4
75 5
75 6

;Masked Sub-Zero
0 1
0 2
0 3
0 4
0 5
0 6
0 12
0 13

181 0
181 1
181 2

;Jax MK3
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7

0 10
180 0
180 1
180 2
180 3
180 4
180 5
180 6
180 7
180 8
180 9

;Sonya MK3
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7

75 0
75 1
75 2
75 3
75 4
75 5
75 6
75 7

;Cyrax
0 100
0 101
0 102
0 103
0 104
0 105
0 106
0 107
0 108

180 6
180 7
180 8
180 9
180 10
180 11

;Kano MK3
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

180 0
180 1
180 2
180 3
180 4
180 5
180 6
180 7
180 8
180 9

;Sektor
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8

;Sub Zero MK3
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9

180 0
180 1
180 2
180 3

;Johnny Cage MKT
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7

180 0
180 1
180 2
180 3
180 4
180 5

;Kabal
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9

180 0
180 1
180 2
180 3
180 4
180 5
180 6
180 7
180 8
180 9
180 10
180 11
180 12
180 13
180 14
180 15
180 16
180 17
180 18
180 19
180 10

;Jade
0 0
0 1
0 2
0 3
0 4
0 5
0 6

180 11
180 12
180 13
180 14
180 15
180 16
180 17
180 18
180 19
180 20
180 21
180 22
180 23
180 24

;Chameleon
30007 0
30007 1
30007 2
30007 3
30007 4
30007 5
30007 6
30007 7
30007 8
30007 9
30007 10
30007 11
30007 12
30007 13
30007 14
30007 15
30007 16
30007 17
30007 18
30007 19
30007 20
30007 21
30007 22
30007 23
30007 24
